name,season,description,yield,price,soilType,temperatureRange,rainfall,fertilizer,notes
Swarnamani,Kharif,"Swarnamani is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",47.9,₹2921 per quintal,Sandy loam with organic amendments,24°C - 32°C,450-700 mm,NPK with compost; apply zinc & boron as needed,Early-maturing variety with good shelf life. (Swarnamani)
Ankur Arjun,Kharif,"Ankur Arjun is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",42.8,₹3471 per quintal,Loamy soil with good drainage and aeration,20°C - 35°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Performs well under drip irrigation; susceptible to fruit borer. (Ankur Arjun)
Pusa Hybrid-5,Rabi,"Pusa Hybrid-5 is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",42.5,₹3300 per quintal,Sandy loam with organic amendments,20°C - 33°C,450-700 mm,Balanced NPK (15:15:15) with farmyard manure,Recommended for fresh market and local processing. (Pusa Hybrid-5)
Pusa Sadabahar,Kharif,"Pusa Sadabahar is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",37.4,₹3141 per quintal,Sandy loam with organic amendments,25°C - 33°C,700-1000 mm,Balanced NPK (15:15:15) with farmyard manure,Performs well under drip irrigation; susceptible to fruit borer. (Pusa Sadabahar)
Pusa Mohini,Rabi,"Pusa Mohini is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",51.8,₹2913 per quintal,Well-drained loamy soil rich in organic matter,20°C - 32°C,700-1000 mm,Balanced NPK (15:15:15) with farmyard manure,Requires staking and regular pruning for best yields. (Pusa Mohini)
Ankur Gold,Kharif,"Ankur Gold is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",58.2,₹3544 per quintal,Fertile clay loam with good water retention,26°C - 33°C,700-1000 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Hybrid with high yield potential; monitor for viral diseases. (Ankur Gold)
Pusa Purple Cluster,Kharif,"Pusa Purple Cluster is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",41.8,₹3689 per quintal,Well-drained loamy soil rich in organic matter,20°C - 35°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Good resistance to bacterial wilt and shoot borer. (Pusa Purple Cluster)
Pusa Upkar,Rabi,"Pusa Upkar is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",34.3,₹3469 per quintal,Well-drained loamy soil rich in organic matter,21°C - 32°C,600-900 mm,"Urea (split doses), DAP, Muriate of Potash",Suitable for both open-field and protected cultivation. (Pusa Upkar)
Azad Kranti,Kharif,"Azad Kranti is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",36.2,₹2858 per quintal,Fertile clay loam with good water retention,24°C - 34°C,700-1000 mm,Balanced NPK (15:15:15) with farmyard manure,Requires staking and regular pruning for best yields. (Azad Kranti)
Bhagyamati,Kharif,"Bhagyamati is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",36.3,₹2913 per quintal,Fertile clay loam with good water retention,21°C - 37°C,600-900 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Requires staking and regular pruning for best yields. (Bhagyamati)
Mahyco-10,Summer,"Mahyco-10 is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",42.8,₹3343 per quintal,Sandy loam with organic amendments,26°C - 32°C,700-1000 mm,"Urea (split doses), DAP, Muriate of Potash",Recommended for fresh market and local processing. (Mahyco-10)
Long Purple,Summer,"Long Purple is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",39.6,₹3183 per quintal,Well-drained loamy soil rich in organic matter,25°C - 38°C,700-1000 mm,Balanced NPK (15:15:15) with farmyard manure,Requires staking and regular pruning for best yields. (Long Purple)
Arka Shirish,Rabi,"Arka Shirish is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",49.7,₹3437 per quintal,Sandy loam with organic amendments,23°C - 34°C,700-1000 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Suitable for both open-field and protected cultivation. (Arka Shirish)
Bhavya,Kharif & Rabi,"Bhavya is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",38.9,₹3584 per quintal,Sandy loam with organic amendments,25°C - 34°C,600-900 mm,"Urea (split doses), DAP, Muriate of Potash",Hybrid with high yield potential; monitor for viral diseases. (Bhavya)
Nayantara,Summer,"Nayantara is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",38.6,₹3659 per quintal,Fertile clay loam with good water retention,22°C - 37°C,500-700 mm,"Urea (split doses), DAP, Muriate of Potash",Requires staking and regular pruning for best yields. (Nayantara)
Ankur Shreyas,Kharif & Rabi,"Ankur Shreyas is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",50.6,₹3305 per quintal,Sandy loam with organic amendments,24°C - 36°C,500-700 mm,Balanced NPK (15:15:15) with farmyard manure,Early-maturing variety with good shelf life. (Ankur Shreyas)
Manjari Gota,Kharif & Rabi,"Manjari Gota is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",39.3,₹3513 per quintal,Loamy soil with good drainage and aeration,24°C - 35°C,700-1000 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Performs well under drip irrigation; susceptible to fruit borer. (Manjari Gota)
Krishna,Rabi,"Krishna is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",46.4,₹2803 per quintal,Loamy soil with good drainage and aeration,24°C - 36°C,700-1000 mm,"Urea (split doses), DAP, Muriate of Potash",Performs well under drip irrigation; susceptible to fruit borer. (Krishna)
Pant Rituraj,Rabi,"Pant Rituraj is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",38.7,₹3739 per quintal,Loamy soil with good drainage and aeration,26°C - 38°C,500-700 mm,NPK with compost; apply zinc & boron as needed,Early-maturing variety with good shelf life. (Pant Rituraj)
Pusa Jyoti,Rabi,"Pusa Jyoti is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",39.4,₹3077 per quintal,Fertile clay loam with good water retention,26°C - 38°C,700-1000 mm,"Urea (split doses), DAP, Muriate of Potash",Good resistance to bacterial wilt and shoot borer. (Pusa Jyoti)
Arka Neelkanth,Kharif,"Arka Neelkanth is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",52.7,₹2890 per quintal,Sandy loam with organic amendments,25°C - 38°C,450-700 mm,NPK with compost; apply zinc & boron as needed,Hybrid with high yield potential; monitor for viral diseases. (Arka Neelkanth)
Pusa Purple Long,Kharif & Rabi,"Pusa Purple Long is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",40.6,₹3449 per quintal,Fertile clay loam with good water retention,26°C - 32°C,450-700 mm,"Urea (split doses), DAP, Muriate of Potash",Good resistance to bacterial wilt and shoot borer. (Pusa Purple Long)
VNR 51,Summer,"VNR 51 is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",49.4,₹3217 per quintal,Fertile clay loam with good water retention,26°C - 34°C,500-700 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Hybrid with high yield potential; monitor for viral diseases. (VNR 51)
Arka Kusumkar,Kharif & Rabi,"Arka Kusumkar is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",59.2,₹2801 per quintal,Well-drained loamy soil rich in organic matter,26°C - 34°C,700-1000 mm,Balanced NPK (15:15:15) with farmyard manure,Requires staking and regular pruning for best yields. (Arka Kusumkar)
Pusa Bhairav,Rabi,"Pusa Bhairav is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",56.2,₹3547 per quintal,Sandy loam with organic amendments,23°C - 38°C,500-700 mm,Balanced NPK (15:15:15) with farmyard manure,Requires staking and regular pruning for best yields. (Pusa Bhairav)
Pusa Niharika,Rabi,"Pusa Niharika is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",36.5,₹3389 per quintal,Fertile clay loam with good water retention,26°C - 35°C,600-900 mm,Balanced NPK (15:15:15) with farmyard manure,Early-maturing variety with good shelf life. (Pusa Niharika)
Kashi Sandesh,Kharif & Rabi,"Kashi Sandesh is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",31.7,₹3445 per quintal,Fertile clay loam with good water retention,22°C - 34°C,450-700 mm,Balanced NPK (15:15:15) with farmyard manure,Performs well under drip irrigation; susceptible to fruit borer. (Kashi Sandesh)
Arka Nidhi,Summer,"Arka Nidhi is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",35.7,₹2824 per quintal,Loamy soil with good drainage and aeration,24°C - 36°C,700-1000 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Hybrid with high yield potential; monitor for viral diseases. (Arka Nidhi)
Kashi Taru,Kharif,"Kashi Taru is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",51.8,₹3414 per quintal,Loamy soil with good drainage and aeration,26°C - 36°C,500-700 mm,Balanced NPK (15:15:15) with farmyard manure,Performs well under drip irrigation; susceptible to fruit borer. (Kashi Taru)
Kashi Komal,Kharif,"Kashi Komal is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",47.0,₹3442 per quintal,Fertile clay loam with good water retention,24°C - 38°C,450-700 mm,"Urea (split doses), DAP, Muriate of Potash",Early-maturing variety with good shelf life. (Kashi Komal)
Annamalai,Summer,"Annamalai is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",52.7,₹2819 per quintal,Sandy loam with organic amendments,22°C - 38°C,700-1000 mm,Balanced NPK (15:15:15) with farmyard manure,Recommended for fresh market and local processing. (Annamalai)
CO-2,Summer,"CO-2 is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",40.6,₹3262 per quintal,Well-drained loamy soil rich in organic matter,26°C - 37°C,500-700 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Good resistance to bacterial wilt and shoot borer. (CO-2)
Swarnmani,Kharif & Rabi,"Swarnmani is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",41.6,₹3671 per quintal,Loamy soil with good drainage and aeration,22°C - 35°C,700-1000 mm,"Urea (split doses), DAP, Muriate of Potash",Recommended for fresh market and local processing. (Swarnmani)
Pusa Nandini,Rabi,"Pusa Nandini is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",30.6,₹3295 per quintal,Fertile clay loam with good water retention,22°C - 32°C,500-700 mm,Balanced NPK (15:15:15) with farmyard manure,Good resistance to bacterial wilt and shoot borer. (Pusa Nandini)
Pusa Ankur,Rabi,"Pusa Ankur is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",35.6,₹3462 per quintal,Well-drained loamy soil rich in organic matter,26°C - 37°C,500-700 mm,"Urea (split doses), DAP, Muriate of Potash",Requires staking and regular pruning for best yields. (Pusa Ankur)
Pusa Santosh,Kharif,"Pusa Santosh is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",46.0,₹2984 per quintal,Fertile clay loam with good water retention,24°C - 34°C,450-700 mm,"Nitrogen, Phosphorus, Potassium + micronutrients",Performs well under drip irrigation; susceptible to fruit borer. (Pusa Santosh)
CO-3,Summer,"CO-3 is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",55.7,₹3343 per quintal,Well-drained loamy soil rich in organic matter,21°C - 34°C,700-1000 mm,NPK with compost; apply zinc & boron as needed,Good resistance to bacterial wilt and shoot borer. (CO-3)
Shakthi,Kharif,"Shakthi is an Indian brinjal (eggplant) variety/ hybrid known for good fruit quality, suitable for local cultivation and markets.",57.3,₹3176 per quintal,Loamy soil with good drainage and aeration,20°C - 38°C,450-700 mm,NPK with compost; apply zinc & boron as needed,Requires staking and regular pruning for best yields. (Shakthi)
